Fiyat,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Ortalama Yakıt Tüketimi,Yakıt Deposu
155.000 TL,Lada,Vega,1.5,2000,283.000 km,Düz,LPG & Benzin,Station wagon,Bordo,1499 cc,77 hp,Önden Çekiş,"7,7 lt",43 lt
170.000 TL,Lada,Vega,1.5,2000,301.000 km,Düz,LPG & Benzin,Station wagon,Yeşil,1499 cc,77 hp,Önden Çekiş,"7,7 lt",43 lt
195.000 TL,Lada,Vega,1.5,2001,147.000 km,Düz,LPG & Benzin,Station wagon,Şampanya,1499 cc,77 hp,Önden Çekiş,"7,7 lt",43 lt
375.000 TL,Volvo,V40,1.6,2004,475.000 km,Düz,LPG & Benzin,Station wagon,Gri,1587 cc,109 hp,Önden Çekiş,"7,7 lt",60 lt
610.000 TL,Peugeot,508,1.6 THP Active,2011,157.600 km,Otomatik,Benzin,Station wagon,Gri,1598 cc,158 hp,Önden Çekiş,"7,3 lt",72 lt
610.000 TL,Peugeot,508,1.6 THP Active,2011,157.600 km,Otomatik,Benzin,Station wagon,Gri,1598 cc,158 hp,Önden Çekiş,"7,3 lt",72 lt
240.000 TL,Tata,Marina,1.4 TDI Comfort,2007,186.000 km,Düz,Dizel,Station wagon,Gri (Gümüş),1405 cc,70 hp,Önden Çekiş,"7,3 lt",42 lt
255.000 TL,Tata,Marina,1.4 TDI Comfort,2006,261.200 km,Düz,Dizel,Station wagon,Lacivert,1405 cc,70 hp,Önden Çekiş,"7,3 lt",42 lt
250.000 TL,Tata,Marina,1.4 TDI Comfort,2007,263.000 km,Düz,Dizel,Station wagon,Yeşil,1405 cc,70 hp,Önden Çekiş,"7,3 lt",42 lt
180.000 TL,Tata,Marina,1.4 TDI Comfort,2006,256.000 km,Düz,Dizel,Station wagon,Yeşil,1405 cc,70 hp,Önden Çekiş,"7,3 lt",42 lt
3.449.000 TL,Audi,A4,A4 Sedan 45 TFSI Quattro S Line,2024,13.000 km,Yarı Otomatik,Hibrit,Station wagon,Siyah,1984 cc,265 hp,4WD (Sürekli),"7,2 lt",58 lt
272.500 TL,Renault,Megane,1.6 RXE,1999,305.000 km,Düz,LPG & Benzin,Station wagon,Gri,1598 cc,107 hp,Önden Çekiş,"7,2 lt",60 lt
267.500 TL,Renault,Megane,1.6 RXE,1999,305.000 km,Düz,LPG & Benzin,Station wagon,Gri,1598 cc,107 hp,Önden Çekiş,"7,2 lt",60 lt
267.500 TL,Renault,Megane,1.6 RXE,1999,305.000 km,Düz,LPG & Benzin,Station wagon,Gri,1598 cc,107 hp,Önden Çekiş,"7,2 lt",60 lt
300.000 TL,Renault,Megane,1.6 RTE,2000,385.000 km,Düz,LPG & Benzin,Station wagon,Gri,1598 cc,107 hp,Önden Çekiş,"7,2 lt",60 lt
220.000 TL,Renault,Megane,1.6 RTE,2000,330.000 km,Düz,LPG & Benzin,Station wagon,Mavi (metalik),1598 cc,107 hp,Önden Çekiş,"7,2 lt",60 lt
375.000 TL,Skoda,Fabia,1.4 Special,2005,308.000 km,Düz,LPG & Benzin,Station wagon,Gri (titanyum),1390 cc,100 hp,Önden Çekiş,"7,1 lt",45 lt
310.000 TL,Toyota,Corolla,1.3 ECO,2000,280.000 km,Düz,LPG & Benzin,Station wagon,Gri,1332 cc,87 hp,Önden Çekiş,"7,1 lt",50 lt
356.000 TL,Kia,Carens,2.0 CRDi EX,2004,289.500 km,Otomatik,Dizel,Station wagon,Mavi,1991 cc,-,Önden Çekiş,7 lt,55 lt
5.875.000 TL,BMW,5 Serisi,M550d xDrive M Sport,2018,105.000 km,Otomatik,Dizel,Station wagon,Lacivert,2993 cc,400 hp,4WD (Sürekli),"6,8 lt",66 lt
5.875.000 TL,BMW,5 Serisi,M550d xDrive M Sport,2018,105.000 km,Otomatik,Dizel,Station wagon,Lacivert,2993 cc,400 hp,4WD (Sürekli),"6,8 lt",66 lt
402.500 TL,Ford,Focus,1.6 Ghia,2001,251.000 km,Düz,LPG & Benzin,Station wagon,Lacivert,1596 cc,100 hp,Önden Çekiş,"6,8 lt",55 lt
200.000 TL,Kia,Pride,1.3 DLX,2000,239.000 km,Düz,LPG & Benzin,Station wagon,Bordo,1324 cc,64 hp,Önden Çekiş,"6,8 lt",37 lt
170.000 TL,Kia,Pride,1.3 DLX,2000,245.600 km,Düz,LPG & Benzin,Station wagon,Gri,1324 cc,64 hp,Önden Çekiş,"6,8 lt",37 lt
315.000 TL,Ford,Focus,1.6 Ghia,2002,428.000 km,Düz,LPG & Benzin,Station wagon,Bordo,1596 cc,100 hp,Önden Çekiş,"6,8 lt",55 lt
710.000 TL,Opel,Astra,1.4 T Sport,2011,162.000 km,Otomatik,LPG & Benzin,Station wagon,Kırmızı,1364 cc,140 hp,Önden Çekiş,"6,7 lt",56 lt
140.000 TL,Skoda,Felicia,1.3 GLXi,2000,280.000 km,Düz,LPG & Benzin,Station wagon,Beyaz,1289 cc,68 hp,Önden Çekiş,"6,7 lt",42 lt
3.100.000 TL,Volvo,V60 Cross Country,2,2023,26.750 km,Otomatik,Hibrit,Station wagon,Şampanya,1969 cc,250 hp,4WD (Sürekli),"6,7 lt",60 lt
600.000 TL,Opel,Astra,1.6 Enjoy,2010,151.000 km,Yarı Otomatik,LPG & Benzin,Station wagon,Gri (Gümüş),1598 cc,115 hp,Önden Çekiş,"6,6 lt",52 lt
235.000 TL,Tofaş,Kartal,S,1997,175.000 km,Düz,LPG & Benzin,Station wagon,Mavi (metalik),1581 cc,83 hp,Arkadan İtiş,"6,6 lt",52 lt
235.000 TL,Tofaş,Kartal,S,1997,175.000 km,Düz,LPG & Benzin,Station wagon,Mavi (metalik),1581 cc,83 hp,Arkadan İtiş,"6,6 lt",52 lt
168.000 TL,Tofaş,Kartal,S,1999,100.000 km,Düz,LPG & Benzin,Station wagon,Beyaz,1581 cc,83 hp,Arkadan İtiş,"6,6 lt",52 lt
300.000 TL,Tofaş,Kartal,S,1996,150.000 km,Düz,LPG & Benzin,Station wagon,Turkuaz,1581 cc,83 hp,Arkadan İtiş,"6,6 lt",52 lt
192.500 TL,Tofaş,Kartal,S,1999,85.000 km,Düz,LPG & Benzin,Station wagon,Beyaz,1581 cc,83 hp,Arkadan İtiş,"6,6 lt",52 lt
225.000 TL,Tofaş,Kartal,S,1998,250.000 km,Düz,LPG & Benzin,Station wagon,Bordo,1581 cc,83 hp,Arkadan İtiş,"6,6 lt",52 lt
215.000 TL,Tofaş,Kartal,S,1996,196.000 km,Düz,LPG & Benzin,Station wagon,Turkuaz,1581 cc,83 hp,Arkadan İtiş,"6,6 lt",52 lt
3.965.000 TL,Audi,A6,A6 Avant 45 TFSI Quattro S Line,2019,85.000 km,Yarı Otomatik,Benzin,Station wagon,Siyah,1984 cc,265 hp,4WD (Sürekli),"6,5 lt",63 lt
270.000 TL,Volkswagen,Polo,1.6 Comfortline,1998,17.000 km,Düz,LPG & Benzin,Station wagon,Mavi,1598 cc,75 hp,Önden Çekiş,"6,4 lt",45 lt
885.000 TL,Fiat,Egea,1.6 E-Torq Urban Plus,2018,57.000 km,Otomatik,Benzin,Station wagon,Beyaz,1598 cc,110 hp,Önden Çekiş,"6,3 lt",50 lt
1.450.000 TL,Audi,A4,A4 Allroad Quattro 2.0 TDI,2012,222.000 km,Yarı Otomatik,Dizel,Station wagon,Beyaz,1968 cc,177 hp,4WD (Sürekli),6 lt,61 lt
525.000 TL,Dacia,Logan,1.2 Ambiance,2015,124.500 km,Düz,LPG & Benzin,Station wagon,Gri,1149 cc,75 hp,Önden Çekiş,6 lt,50 lt
345.000 TL,Volkswagen,Passat Variant,1.9 TDi Comfortline,1998,421.000 km,Düz,Dizel,Station wagon,Yeşil (metalik),1896 cc,110 hp,4WD (Sürekli),6 lt,62 lt
125.000 TL,Opel,Rekord,1.7,1972,210.000 km,Düz,LPG & Benzin,Station wagon,Kırmızı,1698 cc,66 hp,Arkadan İtiş,,55 lt
180.000 TL,Tofaş,Kartal,Kartal 5 Vites,1994,125.000 km,Düz,LPG & Benzin,Station wagon,Kırmızı,1581 cc,83 hp,Arkadan İtiş,,52 lt
235.000 TL,Tofaş,Kartal,1.6 ie,2001,70.000 km,Düz,LPG & Benzin,Station wagon,Bordo,1581 cc,83 hp,Arkadan İtiş,,52 lt
248.000 TL,Fiat,Palio,1.4 EL Weekend,2000,239.000 km,Düz,LPG & Benzin,Station wagon,Gri,1400 cc,74 hp,Önden Çekiş,,51 lt
465.000 TL,Renault,Clio,1.2 Grandtour Extreme,2011,155.000 km,Düz,Benzin,Station wagon,Gri,1149 cc,75 hp,Önden Çekiş,"5,9 lt",55 lt
506.500 TL,Renault,Clio,1.2 Grandtour Night & Day,2012,140.000 km,Düz,LPG & Benzin,Station wagon,Beyaz,1149 cc,75 hp,Önden Çekiş,"5,9 lt",55 lt
1.090.000 TL,Volvo,V60,1.5 T3 Advance,2016,185.000 km,Otomatik,Benzin,Station wagon,Beyaz,1498 cc,152 hp,Önden Çekiş,"5,9 lt",67 lt
320.000 TL,Renault,Laguna,1.9 DTi RXE,2001,510.000 km,Düz,Dizel,Station wagon,Gri,1870 cc,98 hp,Önden Çekiş,"5,7 lt",66 lt
1.795.000 TL,Audi,A4,A4 Allroad Quattro 2.0 TDI,2015,60.089 km,Yarı Otomatik,Dizel,Station wagon,Siyah,1968 cc,190 hp,4WD (Sürekli),"5,6 lt",61 lt
1.275.000 TL,Audi,A4,A4 Allroad Quattro 2.0 TDI,2015,257.000 km,Yarı Otomatik,Dizel,Station wagon,Beyaz,1968 cc,190 hp,4WD (Sürekli),"5,6 lt",61 lt
2.650.000 TL,Volvo,V90 Cross Country,2.0 B5 Pro,2020,61.700 km,Otomatik,LPG & Benzin,Station wagon,Gri,1969 cc,235 hp,4WD (Sürekli),"5,6 lt",60 lt
419.000 TL,Renault,Clio,1.2 SportTourer Joy,2013,302.000 km,Düz,LPG & Benzin,Station wagon,Beyaz,1149 cc,75 hp,Önden Çekiş,"5,5 lt",45 lt
1.635.000 TL,Audi,A4,A4 Sedan 1.4 TFSI Design,2017,143.000 km,Yarı Otomatik,Benzin,Station wagon,Siyah,1395 cc,150 hp,Önden Çekiş,"5,4 lt",54 lt
2.352.900 TL,Volkswagen,Passat Alltrack,2.0 TDI,2021,48.000 km,Yarı Otomatik,Dizel,Station wagon,Gri,1968 cc,200 hp,4WD (Sürekli),"5,4 lt",66 lt
599.000 TL,Dacia,Logan,1.0 SCE Ambiance,2018,155.000 km,Düz,Benzin,Station wagon,Beyaz,998 cc,75 hp,Önden Çekiş,"5,4 lt",50 lt
