Fiyat,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Ortalama Yakıt Tüketimi,Yakıt Deposu
675.000 TL,Citroen,C-Elysee,1.5 BlueHDi Feel,2020,123.000 km,Düz,Dizel,Sedan,Beyaz,1499 cc,100 hp,Önden Çekiş,"3,9 lt",50 lt
500.000 TL,Renault,Symbol,1.5 dCi Joy,2014,194.200 km,Düz,Dizel,Sedan,Beyaz,1461 cc,75 hp,Önden Çekiş,"3,9 lt",50 lt
799.000 TL,Fiat,Egea,1.6 Multijet Easy,2020,146.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,"3,9 lt",45 lt
599.000 TL,Renault,Symbol,1.5 dCi Joy,2013,76.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,75 hp,Önden Çekiş,"3,9 lt",50 lt
645.000 TL,Renault,Symbol,1.5 dCi Touch,2017,115.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,90 hp,Önden Çekiş,"3,9 lt",50 lt
659.900 TL,Citroen,C-Elysee,1.5 BlueHDi Feel,2020,76.000 km,Düz,Dizel,Sedan,Beyaz,1499 cc,100 hp,Önden Çekiş,"3,9 lt",50 lt
635.000 TL,Renault,Symbol,1.5 dCi Joy,2016,130.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,90 hp,Önden Çekiş,"3,9 lt",50 lt
577.500 TL,Peugeot,301,1.5 BlueHDI Active,2019,196.000 km,Düz,Dizel,Sedan,Beyaz,1499 cc,102 hp,Önden Çekiş,"3,9 lt",50 lt
685.000 TL,Peugeot,301,1.6 BlueHDI Allure,2018,78.000 km,Düz,Dizel,Sedan,Füme,1560 cc,102 hp,Önden Çekiş,"3,9 lt",50 lt
839.900 TL,Fiat,Egea,1.6 Multijet Mirror,2020,120.635 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,"3,9 lt",45 lt
839.900 TL,Fiat,Egea,1.6 Multijet Mirror,2020,120.635 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,"3,9 lt",45 lt
657.500 TL,Citroen,C-Elysee,1.5 BlueHDi Feel,2019,111.000 km,Düz,Dizel,Sedan,Beyaz,1499 cc,100 hp,Önden Çekiş,"3,9 lt",50 lt
619.950 TL,Citroen,C-Elysee,1.5 BlueHDi Feel,2021,120.000 km,Düz,Dizel,Sedan,Beyaz,1499 cc,100 hp,Önden Çekiş,"3,9 lt",50 lt
496.500 TL,Renault,Symbol,1.5 dCi Joy,2014,210.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,75 hp,Önden Çekiş,"3,9 lt",50 lt
725.000 TL,Renault,Symbol,1.5 dCi Joy,2016,101.500 km,Düz,Dizel,Sedan,Beyaz,1461 cc,90 hp,Önden Çekiş,"3,9 lt",50 lt
729.000 TL,Citroen,C-Elysee,1.5 BlueHDi Feel,2022,79.900 km,Düz,Dizel,Sedan,Beyaz,1499 cc,100 hp,Önden Çekiş,"3,9 lt",50 lt
687.000 TL,Citroen,C-Elysee,1.5 BlueHDi Feel,2022,76.000 km,Düz,Dizel,Sedan,Beyaz,1499 cc,100 hp,Önden Çekiş,"3,9 lt",50 lt
714.000 TL,Peugeot,301,1.5 BlueHDI Active,2020,113.000 km,Düz,Dizel,Sedan,Beyaz,1499 cc,102 hp,Önden Çekiş,"3,9 lt",50 lt
616.000 TL,Citroen,C-Elysee,1.5 BlueHDi Shine,2021,80.000 km,Düz,Dizel,Sedan,Füme,1499 cc,100 hp,Önden Çekiş,"3,9 lt",50 lt
299.000 TL,Renault,Symbol,1.5 dCi Joy,2013,298.000 km,Düz,Dizel,Sedan,Gri (titanyum),1461 cc,90 hp,Önden Çekiş,"3,9 lt",50 lt
659.000 TL,Citroen,C-Elysee,1.6 BlueHDi Live,2018,68.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,100 hp,Önden Çekiş,"3,8 lt",50 lt
649.000 TL,Citroen,C-Elysee,1.6 BlueHDi Live,2018,68.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,100 hp,Önden Çekiş,"3,8 lt",50 lt
595.000 TL,Citroen,C-Elysee,1.6 BlueHDi Live,2018,138.100 km,Düz,Dizel,Sedan,Beyaz,1560 cc,100 hp,Önden Çekiş,"3,8 lt",50 lt
1.168.000 TL,Peugeot,508,1.5 BlueHDI Prime,2020,94.143 km,Otomatik,Dizel,Sedan,Lacivert,1499 cc,130 hp,Önden Çekiş,"3,8 lt",55 lt
937.500 TL,Renault,Megane,1.5 dCi Touch,2018,166.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
830.000 TL,Renault,Megane,1.5 dCi Touch,2018,220.000 km,Yarı Otomatik,Dizel,Sedan,Gri (metalik),1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
798.000 TL,Renault,Megane,1.5 dCi Touch,2016,208.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
959.500 TL,Renault,Megane,1.5 dCi Touch,2018,87.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
937.500 TL,Renault,Megane,1.5 dCi Touch,2018,166.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
830.000 TL,Renault,Megane,1.5 dCi Touch,2018,220.000 km,Yarı Otomatik,Dizel,Sedan,Gri (metalik),1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
798.000 TL,Renault,Megane,1.5 dCi Touch,2016,208.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
850.000 TL,Renault,Megane,1.5 dCi Touch,2017,190.000 km,Yarı Otomatik,Dizel,Sedan,Füme,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
850.000 TL,Renault,Megane,1.5 dCi Touch,2017,190.000 km,Yarı Otomatik,Dizel,Sedan,Füme,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
659.000 TL,Renault,Megane,1.5 dCi Touch,2017,170.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
855.750 TL,Renault,Megane,1.5 dCi Touch,2017,118.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
795.000 TL,Renault,Megane,1.5 dCi Joy,2016,215.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
855.750 TL,Renault,Megane,1.5 dCi Touch,2017,118.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
855.750 TL,Renault,Megane,1.5 dCi Touch,2017,118.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
1.350.999 TL,Renault,Megane,1.5 dCi Icon,2018,37.000 km,Yarı Otomatik,Dizel,Sedan,Gri (titanyum),1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
785.000 TL,Renault,Megane,1.5 dCi Touch,2018,200.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
920.000 TL,Renault,Megane,1.5 dCi Touch,2016,98.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
928.000 TL,Renault,Megane,1.5 dCi Icon,2017,200.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
820.000 TL,Renault,Megane,1.5 dCi Touch,2018,123.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
1.050.000 TL,Renault,Megane,1.5 dCi Touch Plus,2020,110.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
699.000 TL,Renault,Megane,1.5 dCi Touch,2017,298.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
823.000 TL,Renault,Megane,1.5 dCi Touch,2017,220.000 km,Yarı Otomatik,Dizel,Sedan,Füme,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
925.000 TL,Renault,Megane,1.5 dCi Touch,2019,138.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
1.217.750 TL,Peugeot,508,1.5 BlueHDI Allure,2019,115.000 km,Otomatik,Dizel,Sedan,Siyah,1499 cc,130 hp,Önden Çekiş,"3,8 lt",55 lt
865.000 TL,Renault,Megane,1.5 dCi Touch,2017,111.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
950.000 TL,Renault,Megane,1.5 dCi Icon,2017,174.000 km,Yarı Otomatik,Dizel,Sedan,Gri,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
1.768.500 TL,Peugeot,508,1.5 BlueHDI GT Selection,2022,51.000 km,Otomatik,Dizel,Sedan,Beyaz,1499 cc,130 hp,Önden Çekiş,"3,8 lt",55 lt
955.000 TL,Renault,Megane,1.5 dCi Icon,2019,220.000 km,Yarı Otomatik,Dizel,Sedan,Gri (Gümüş),1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
1.265.000 TL,Peugeot,508,1.5 BlueHDI Allure,2019,209.000 km,Otomatik,Dizel,Sedan,Lacivert,1499 cc,130 hp,Önden Çekiş,"3,8 lt",55 lt
915.000 TL,Renault,Megane,1.5 dCi Touch,2018,115.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
555.000 TL,Citroen,C-Elysee,1.6 BlueHDi Live,2018,125.400 km,Düz,Dizel,Sedan,Beyaz,1560 cc,100 hp,Önden Çekiş,"3,8 lt",50 lt
815.000 TL,Renault,Megane,1.5 dCi Touch,2017,78.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
815.000 TL,Renault,Megane,1.5 dCi Touch,2017,78.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
665.000 TL,Renault,Megane,1.5 dCi Touch,2017,230.000 km,Yarı Otomatik,Dizel,Sedan,Mavi (metalik),1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
426.000 TL,Renault,Megane,1.5 dCi Touch,2018,165.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
870.000 TL,Renault,Megane,1.5 dCi Icon,2016,190.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
1.015.000 TL,Audi,A3,A3 Sedan 1.6 TDI Dynamic,2016,244.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt
490.000 TL,Chevrolet,Aveo,1.3 D LT,2012,128.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,75 hp,Önden Çekiş,"3,7 lt",46 lt
398.000 TL,Chevrolet,Aveo,1.3 D LS,2012,201.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,75 hp,Önden Çekiş,"3,7 lt",46 lt
398.000 TL,Chevrolet,Aveo,1.3 D LS,2012,201.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,75 hp,Önden Çekiş,"3,7 lt",46 lt
415.000 TL,Chevrolet,Aveo,1.3 D LT,2012,257.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,75 hp,Önden Çekiş,"3,7 lt",46 lt
450.000 TL,Chevrolet,Aveo,1.3 D LS,2012,169.000 km,Düz,Dizel,Sedan,Siyah,1248 cc,75 hp,Önden Çekiş,"3,7 lt",46 lt
625.000 TL,Opel,Astra,1.6 CDTI Sport,2015,199.000 km,Düz,Dizel,Sedan,Beyaz,1598 cc,110 hp,Önden Çekiş,"3,7 lt",56 lt
1.140.000 TL,Audi,A3,A3 Sedan 1.6 TDI Dynamic,2016,132.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt
525.000 TL,Chevrolet,Aveo,1.3 D LT,2012,142.000 km,Düz,Dizel,Sedan,Siyah,1248 cc,75 hp,Önden Çekiş,"3,7 lt",46 lt
1.065.000 TL,Toyota,Corolla,1.8 Hybrid Dream,2019,80.000 km,Otomatik,Hibrit,Sedan,Gri (Gümüş),1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
1.229.000 TL,Toyota,Corolla,1.8 Hybrid Dream,2020,60.000 km,Otomatik,Hibrit,Sedan,Beyaz,1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
1.099.000 TL,Toyota,Corolla,1.8 Hybrid Dream,2021,97.000 km,Otomatik,Hibrit,Sedan,Gri (Gümüş),1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
989.000 TL,Toyota,Corolla,1.8 Hybrid Dream,2020,113.000 km,Otomatik,Hibrit,Sedan,Beyaz,1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
1.229.000 TL,Toyota,Corolla,1.8 Hybrid Dream,2020,60.000 km,Otomatik,Hibrit,Sedan,Beyaz,1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
1.099.000 TL,Toyota,Corolla,1.8 Hybrid Dream,2021,97.000 km,Otomatik,Hibrit,Sedan,Gri (Gümüş),1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
1.295.000 TL,Toyota,Corolla,1.8 Hybrid Dream,2020,47.000 km,Otomatik,Hibrit,Sedan,Gri (metalik),1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
1.050.000 TL,Toyota,Corolla,1.8 Hybrid Dream,2020,100.500 km,Otomatik,Hibrit,Sedan,Gri,1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
1.050.000 TL,Toyota,Corolla,1.8 Hybrid Dream,2020,100.500 km,Otomatik,Hibrit,Sedan,Gri,1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
1.100.000 TL,Toyota,Corolla,1.8 Hybrid Dream,2021,97.400 km,Otomatik,Hibrit,Sedan,Mavi (metalik),1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
1.040.000 TL,Toyota,Corolla,1.8 Hybrid Dream,2020,120.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
1.070.000 TL,Toyota,Corolla,1.8 Hybrid Flame X-Pack,2020,106.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
1.094.000 TL,Toyota,Corolla,1.8 Hybrid Dream,2021,112.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
1.399.750 TL,Toyota,Corolla,1.8 Hybrid Flame X-Pack,2022,34.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
1.149.000 TL,Toyota,Corolla,1.8 Hybrid Dream,2021,62.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
949.500 TL,Toyota,Corolla,1.8 Hybrid Dream,2021,129.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
1.049.000 TL,Toyota,Corolla,1.8 Hybrid Dream,2021,127.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
1.170.000 TL,Toyota,Corolla,1.8 Hybrid Flame X-Pack,2021,120.000 km,Otomatik,LPG & Benzin,Sedan,Siyah,1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
1.158.000 TL,Toyota,Corolla,1.8 Hybrid Dream,2021,79.175 km,Otomatik,Hibrit,Sedan,Beyaz,1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
1.079.900 TL,Toyota,Corolla,1.8 Hybrid Dream,2021,91.050 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
1.179.000 TL,Toyota,Corolla,1.8 Hybrid Dream,2022,84.000 km,Otomatik,Hibrit,Sedan,Füme,1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
969.500 TL,Toyota,Corolla,1.8 Hybrid Dream,2021,56.291 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
1.149.000 TL,Toyota,Corolla,1.8 Hybrid Flame X-Pack,2021,121.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
36.500.000 TL,Mercedes - Benz,Maybach S,S 680,2023,6.001 km,Otomatik,Benzin,Sedan,Siyah,5980 cc,612 hp,4WD (Sürekli),"14,1 lt",76 lt
40.000.000 TL,Mercedes - Benz,Maybach S,S 680,2024,6.001 km,Otomatik,Benzin,Sedan,Siyah,5980 cc,612 hp,4WD (Sürekli),"14,1 lt",76 lt
999.999 TL,Infiniti,M,M35,2006,194.000 km,Otomatik,Benzin,Sedan,Siyah,3498 cc,280 hp,4WD (Sürekli),"13,9 lt",76 lt
1.000.000 TL,Volkswagen,Passat,4.0 W8,2002,244.000 km,Otomatik,Benzin,Sedan,Gri,3999 cc,275 hp,4WD (Sürekli),"13,1 lt",80 lt
535.750 TL,Audi,A6,A6 Sedan 2.7 T Quattro,2003,320.000 km,Otomatik,LPG & Benzin,Sedan,Mavi,2671 cc,250 hp,4WD (Sürekli),"12,2 lt",70 lt
1.099.000 TL,Honda,Legend,3.5,2007,260.000 km,Otomatik,LPG & Benzin,Sedan,Füme,3471 cc,295 hp,4WD (Sürekli),"11,9 lt",73 lt
800.000 TL,Mercedes - Benz,S,S 320 320 L,2000,397.000 km,Otomatik,Benzin,Sedan,Gri (Gümüş),3199 cc,224 hp,Arkadan İtiş,"11,5 lt",88 lt
800.000 TL,Mercedes - Benz,S,S 320 320 L,2000,397.000 km,Otomatik,Benzin,Sedan,Gri (Gümüş),3199 cc,224 hp,Arkadan İtiş,"11,5 lt",88 lt
645.000 TL,Mercedes - Benz,S,S 320 320 L,2002,521.000 km,Otomatik,LPG & Benzin,Sedan,Siyah,3199 cc,224 hp,Arkadan İtiş,"11,5 lt",88 lt
615.000 TL,Mercedes - Benz,S,S 320 320,1999,414.000 km,Otomatik,LPG & Benzin,Sedan,Mavi (metalik),3199 cc,224 hp,Arkadan İtiş,"11,5 lt",88 lt
600.000 TL,Audi,A6,A6 Sedan 3.0 Quattro,2004,208.500 km,Otomatik,LPG & Benzin,Sedan,Füme,2976 cc,220 hp,4WD (Sürekli),"11,3 lt",70 lt
600.000 TL,Audi,A6,A6 Sedan 3.0 Quattro,2004,208.500 km,Otomatik,LPG & Benzin,Sedan,Füme,2976 cc,220 hp,4WD (Sürekli),"11,3 lt",70 lt
525.000 TL,Audi,A6,A6 Sedan 3.0 Quattro,2003,368.000 km,Otomatik,LPG & Benzin,Sedan,Lacivert,2976 cc,220 hp,4WD (Sürekli),"11,3 lt",70 lt
1.100.000 TL,Mercedes - Benz,E,320 Avantgarde,1998,205.000 km,Otomatik,Benzin,Sedan,Beyaz,3199 cc,224 hp,4WD (Sürekli),"11,3 lt",80 lt
2.076.900 TL,Mercedes - Benz,E,320 Avantgarde,2000,48.800 km,Otomatik,Benzin,Sedan,Siyah,3199 cc,224 hp,4WD (Sürekli),"11,3 lt",80 lt
600.000 TL,Mercedes - Benz,E,320 Avantgarde,1997,402.000 km,Otomatik,LPG & Benzin,Sedan,Lacivert,3199 cc,224 hp,4WD (Sürekli),"11,3 lt",80 lt
329.000 TL,Audi,A6,A6 Sedan 2.4 Quattro,2004,339.000 km,Otomatik,LPG & Benzin,Sedan,Gri,2393 cc,170 hp,4WD (Sürekli),"11,2 lt",70 lt
329.000 TL,Audi,A6,A6 Sedan 2.4 Quattro,2004,339.000 km,Otomatik,LPG & Benzin,Sedan,Gri,2393 cc,170 hp,4WD (Sürekli),"11,2 lt",70 lt
525.000 TL,Mercedes - Benz,E,200,1994,440.000 km,Otomatik,LPG & Benzin,Sedan,Lacivert,1998 cc,136 hp,Arkadan İtiş,"11,1 lt",70 lt
525.000 TL,Mercedes - Benz,E,200,1994,440.000 km,Otomatik,LPG & Benzin,Sedan,Lacivert,1998 cc,136 hp,Arkadan İtiş,"11,1 lt",70 lt
2.400.000 TL,Subaru,Impreza,2.5 WRX STi,2007,6.284 km,Düz,Benzin,Sedan,Beyaz,2457 cc,280 hp,4WD (Sürekli),"10,9 lt",60 lt
2.150.000 TL,Subaru,Impreza,2.5 WRX STi,2005,128.000 km,Düz,Benzin,Sedan,Mavi,2457 cc,280 hp,4WD (Sürekli),"10,9 lt",60 lt
760.000 TL,Audi,A6,A6 Sedan 4.2 FSI Quattro,2008,165.000 km,Otomatik,Benzin,Sedan,Siyah,4163 cc,350 hp,4WD (Sürekli),"10,8 lt",80 lt
480.000 TL,BMW,5 Serisi,528i Standart,1998,440.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,2793 cc,193 hp,Arkadan İtiş,"10,5 lt",70 lt
895.000 TL,Jaguar,X-Type,3.0 Sport,2002,143.000 km,Otomatik,Benzin,Sedan,Şampanya,2968 cc,231 hp,4WD (Sürekli),"10,5 lt",61 lt
870.000 TL,Jaguar,X-Type,2.5 Executive,2004,98.000 km,Otomatik,Benzin,Sedan,Gri,2495 cc,196 hp,4WD (Sürekli),"10,3 lt",61 lt
650.000 TL,Jaguar,X-Type,2.5 Sport,2003,187.156 km,Otomatik,Benzin,Sedan,Mavi (metalik),2495 cc,196 hp,4WD (Sürekli),"10,3 lt",61 lt
490.000 TL,Jaguar,X-Type,2.5 Sport,2004,206.000 km,Otomatik,Benzin,Sedan,Siyah,2495 cc,196 hp,4WD (Sürekli),"10,3 lt",61 lt
500.000 TL,Jaguar,X-Type,2.5 Executive,2003,205.000 km,Otomatik,Benzin,Sedan,Siyah,2495 cc,196 hp,4WD (Sürekli),"10,3 lt",61 lt
815.000 TL,Mercedes - Benz,E,320 Avantgarde,2004,489.000 km,Otomatik,LPG & Benzin,Sedan,Gri (Gümüş),3199 cc,224 hp,4WD (Sürekli),"10,3 lt",80 lt
750.000 TL,Mercedes - Benz,E,320 Avantgarde,1997,400.000 km,Otomatik,LPG & Benzin,Sedan,Mor,3199 cc,224 hp,Arkadan İtiş,"10,3 lt",80 lt
600.000 TL,Audi,A6,A6 Sedan 3.2 FSI Quattro,2005,390.000 km,Otomatik,LPG & Benzin,Sedan,Siyah,3123 cc,255 hp,4WD (Sürekli),10 lt,80 lt
600.000 TL,Audi,A6,A6 Sedan 3.2 FSI Quattro,2005,390.000 km,Otomatik,Benzin,Sedan,Siyah,3123 cc,255 hp,4WD (Sürekli),10 lt,80 lt
32.500.000 TL,Mercedes - Benz,S,S 580 L AMG,2024,6.001 km,Otomatik,Hibrit,Sedan,Siyah,3982 cc,503 hp,4WD (Sürekli),10 lt,76 lt
640.000 TL,Mercedes - Benz,200,E,1993,294.000 km,Düz,LPG & Benzin,Sedan,Gri,1997 cc,136 hp,Arkadan İtiş,10 lt,70 lt
4.975.000 TL,Volvo,S90,2.0 T8 Plus Dark,2024,6.500 km,Otomatik,LPG & Benzin,Sedan,Siyah,1969 cc,455 hp,4WD (Sürekli),"0,8 lt",60 lt
349.000 TL,Alfa Romeo,156,1.6 TS Distinctive,2004,278.000 km,Düz,LPG & Benzin,Sedan,Kırmızı,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun Değil
2.350.000 TL,Audi,A4,A4 Sedan 45 TFSI Quattro Design,2019,100.500 km,Otomatik,Benzin,Sedan,Beyaz,1801 - 2000 cm3,226 - 250 HP,4WD (Sürekli),"
",Takasa Uygun Değil
2.850.000 TL,Audi,A4,A4 Sedan 45 TFSI Quattro Advanced,2022,30.000 km,Otomatik,LPG & Benzin,Sedan,Lacivert,1801 - 2000 cm3,251 - 275 HP,4WD (Sürekli),"
",Takasa Uygun
2.425.000 TL,Audi,A4,A4 Sedan 40 TDI Quattro Advanced,2020,87.000 km,Otomatik,Dizel,Sedan,Mavi,1801 - 2000 cm3,176 - 200 HP,4WD (Sürekli),"
",Takasa Uygun
1.472.500 TL,Audi,A3,A3 Sedan 35 TFSI Advanced,2021,140.000 km,Yarı Otomatik,Benzin,Sedan,Siyah,1498 cc,150 hp,,"
",Takasa Uygun
1.472.500 TL,Audi,A3,A3 Sedan 35 TFSI Advanced,2021,140.000 km,Yarı Otomatik,Benzin,Sedan,Siyah,1498 cc,150 hp,,"
",
885.000 TL,Audi,A3,A3 Sedan 1.6 TDI Attraction,2014,285.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun
1.169.500 TL,Audi,A3,A3 Sedan 1.6 TDI Design Line,2018,164.850 km,Otomatik,Dizel,Sedan,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun
885.000 TL,Audi,A3,A3 Sedan 1.6 TDI Attraction,2014,285.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,"
",
2.850.000 TL,Audi,A4,A4 Sedan 45 TFSI Quattro Advanced,2022,30.000 km,Otomatik,LPG & Benzin,Sedan,Lacivert,1801 - 2000 cm3,251 - 275 HP,4WD (Sürekli),"
",Takasa Uygun
2.350.000 TL,Audi,A4,A4 Sedan 45 TFSI Quattro Design,2019,100.500 km,Otomatik,Benzin,Sedan,Beyaz,1801 - 2000 cm3,226 - 250 HP,4WD (Sürekli),"
",Takasa Uygun Değil
2.425.000 TL,Audi,A4,A4 Sedan 40 TDI Quattro Advanced,2020,87.000 km,Otomatik,Dizel,Sedan,Mavi,1801 - 2000 cm3,176 - 200 HP,4WD (Sürekli),"
",Takasa Uygun
4.350.000 TL,Audi,A6,A6 Sedan 40 TDI Quattro Sport,2022,82.000 km,Otomatik,Dizel,Sedan,Siyah,1801 - 2000 cm3,201 - 225 HP,4WD (Sürekli),"
",Takasa Uygun
2.649.000 TL,Audi,A4,A4 Sedan 40 TDI Quattro Advanced,2022,84.900 km,Otomatik,Dizel,Sedan,Siyah,1801 - 2000 cm3,201 - 225 HP,4WD (Sürekli),"
",Takasa Uygun Değil
1.620.000 TL,Audi,A6,A6 Sedan 2.0 TDI Quattro,2016,295.000 km,Otomatik,Dizel,Sedan,Siyah,1801 - 2000 cm3,176 - 200 HP,4WD (Sürekli),"
",Takasa Uygun
3.550.000 TL,Audi,A6,A6 Sedan 45 TFSI Quattro Sport,2019,85.000 km,Otomatik,Benzin,Sedan,Beyaz,1801 - 2000 cm3,226 - 250 HP,4WD (Sürekli),"
",Takasa Uygun Değil
